#type,size,gDim,bDim,time,bw in GB/s
Copy_register->shared,48000,  20,  20,6.75057e-066,142.2
Copy_register->shared,1000,  30,  20,2.80533e-066,10.69
Copy_register->shared,8000,  30,  20,2.70182e-066,88.83
Copy_register->shared,16000,  30,  20,2.74435e-066,174.9
Copy_register->shared,24000,  30,  20,3.25295e-066,221.3
Copy_register->shared,32000,  30,  20,3.97448e-066,241.5
Copy_register->shared,40000,  30,  20,7.04124e-066,170.4
Copy_register->shared,48000,  30,  20,8.33286e-066,172.8
Copy_register->shared,1000,  40,  20,2.8267e-066,14.15
Copy_register->shared,8000,  40,  20,2.78731e-066,114.8
Copy_register->shared,16000,  40,  20,2.69339e-066,237.6
Copy_register->shared,24000,  40,  20,2.8883e-066,332.4
Copy_register->shared,32000,  40,  20,4.97782e-066,257.1
Copy_register->shared,40000,  40,  20,5.89361e-066,271.5
Copy_register->shared,48000,  40,  20,6.70898e-066,286.2
Copy_register->shared,1000,  50,  20,2.79908e-066,17.86
Copy_register->shared,8000,  50,  20,2.7983e-066,142.9
Copy_register->shared,16000,  50,  20,2.66163e-066,300.6
Copy_register->shared,24000,  50,  20,2.74452e-066,437.2
Copy_register->shared,32000,  50,  20,4.34866e-066,367.9
Copy_register->shared,40000,  50,  20,5.08271e-066,393.5
Copy_register->shared,48000,  50,  20,5.72437e-066,419.3
Copy_register->shared,1000,  60,  20,2.77726e-066,21.6
Copy_register->shared,8000,  60,  20,2.72223e-066,176.3
Copy_register->shared,16000,  60,  20,2.71634e-066,353.4
Copy_register->shared,24000,  60,  20,2.87958e-066,500.1
Copy_register->shared,32000,  60,  20,3.97331e-066,483.2
Copy_register->shared,40000,  60,  20,5.20971e-066,460.7
