#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,  32,  16,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  17,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  18,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  19,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  20,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  21,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  22,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  23,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  24,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  25,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  26,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  27,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  28,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  29,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  30,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  31,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  32,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  33,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  34,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  35,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  36,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  37,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  38,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  39,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  40,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  41,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  42,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  43,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  44,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  45,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  46,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  47,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  48,32768, 108
