#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->register,8000,   3,  20,3.78989e-066,6.333
Copy_shared->register,16000,   3,  20,5.47089e-066,8.774
Copy_shared->register,24000,   3,  20,7.0202e-066,10.26
Copy_shared->register,32000,   3,  20,8.68069e-066,11.06
Copy_shared->register,40000,   3,  20,1.02686e-056,11.69
Copy_shared->register,48000,   3,  20,1.18557e-056,12.15
Copy_shared->register,1000,   4,  20,2.71172e-066,1.475
Copy_shared->register,8000,   4,  20,3.33371e-066,9.599
Copy_shared->register,16000,   4,  20,4.54541e-066,14.08
Copy_shared->register,24000,   4,  20,5.78643e-066,16.59
Copy_shared->register,32000,   4,  20,7.00645e-066,18.27
Copy_shared->register,40000,   4,  20,8.15718e-066,19.61
Copy_shared->register,48000,   4,  20,9.45592e-066,20.3
Copy_shared->register,1000,   5,  20,2.80329e-066,1.784
Copy_shared->register,8000,   5,  20,3.14456e-066,12.72
Copy_shared->register,16000,   5,  20,4.09428e-066,19.54
Copy_shared->register,24000,   5,  20,5.03653e-066,23.83
Copy_shared->register,32000,   5,  20,5.981e-066,26.75
Copy_shared->register,40000,   5,  20,6.97008e-066,28.69
Copy_shared->register,48000,   5,  20,7.92791e-066,30.27
Copy_shared->register,1000,  10,  20,2.61754e-066,3.82
Copy_shared->register,8000,  10,  20,2.70675e-066,29.56
Copy_shared->register,16000,  10,  20,3.12453e-066,51.21
Copy_shared->register,24000,  10,  20,3.57468e-066,67.14
Copy_shared->register,32000,  10,  20,4.09506e-066,78.14
Copy_shared->register,40000,  10,  20,4.5953e-066,87.05
Copy_shared->register,48000,  10,  20,5.06213e-066,94.82
Copy_shared->register,1000,  20,  20,2.87217e-066,6.963
Copy_shared->register,8000,  20,  20,2.57005e-066,62.26
Copy_shared->register,16000,  20,  20,2.8062e-066, 114
Copy_shared->register,24000,  20,  20,2.88118e-066,166.6
Copy_shared->register,32000,  20,  20,3.14544e-066,203.5
Copy_shared->register,40000,  20,  20,3.3592e-066,238.2
Copy_shared->register,48000,  20,  20,3.59239e-066,267.2
Copy_shared->register,1000,  30,  20,2.69001e-066,11.15
Copy_shared->register,8000,  30,  20,2.70799e-066,88.63
Copy_shared->register,16000,  30,  20,2.61924e-066,183.3
Copy_shared->register,24000,  30,  20,2.70705e-066, 266
Copy_shared->register,32000,  30,  20,2.81992e-066,340.4
Copy_shared->register,40000,  30,  20,3.7844e-066,317.1
Copy_shared->register,48000,  30,  20,4.20469e-066,342.5
Copy_shared->register,1000,  40,  20,2.73629e-066,14.62
Copy_shared->register,8000,  40,  20,2.77744e-066,115.2
Copy_shared->register,16000,  40,  20,2.67263e-066,239.5
Copy_shared->register,24000,  40,  20,2.59495e-066,369.9
Copy_shared->register,32000,  40,  20,3.16742e-066,404.1
Copy_shared->register,40000,  40,  20,3.47195e-066,460.8
Copy_shared->register,48000,  40,  20,3.72891e-066,514.9
Copy_shared->register,1000,  50,  20,2.63213e-066,  19
Copy_shared->register,8000,  50,  20,2.69247e-066,148.6
Copy_shared->register,16000,  50,  20,2.88854e-066, 277
Copy_shared->register,24000,  50,  20,2.74836e-066,436.6
Copy_shared->register,32000,  50,  20,3.04673e-066,525.2
Copy_shared->register,40000,  50,  20,3.24247e-066,616.8
Copy_shared->register,48000,  50,  20,3.49877e-066, 686
Copy_shared->register,1000,  60,  20,2.70839e-066,22.15
Copy_shared->register,8000,  60,  20,2.7672e-066,173.5
Copy_shared->register,16000,  60,  20,2.6878e-066,357.2
Copy_shared->register,24000,  60,  20,2.80111e-066,514.1
Copy_shared->register,32000,  60,  20,2.95007e-066,650.8
Copy_shared->register,40000,  60,  20,3.68951e-066,650.5
Copy_shared->register,48000,  60,  20,3.95706e-066,727.8
