#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,61   ,8            ,3   ,5   ,8.2205e-06 ,0.00085153
global-offset,61   ,9            ,3   ,5   ,1.13354e-05,0.000617534
global-offset,61   ,10           ,3   ,5   ,1.11189e-05,0.000629559
global-offset,81   ,2            ,4   ,5   ,8.3252e-06 ,0.00120117
global-offset,81   ,3            ,4   ,5   ,6.7817e-06 ,0.00147456
global-offset,81   ,4            ,4   ,5   ,1.09234e-05,0.000915466
global-offset,81   ,5            ,4   ,5   ,1.12237e-05,0.000890972
global-offset,81   ,6            ,4   ,5   ,1.00364e-05,0.000996373
global-offset,81   ,7            ,4   ,5   ,1.13564e-05,0.000880561
global-offset,81   ,8            ,4   ,5   ,8.3671e-06 ,0.00119516
global-offset,81   ,9            ,4   ,5   ,1.05951e-05,0.000943833
global-offset,81   ,10           ,4   ,5   ,9.8338e-06 ,0.0010169
global-offset,101  ,2            ,5   ,5   ,1.07627e-05,0.00111496
global-offset,101  ,3            ,5   ,5   ,1.39825e-05,0.000858216
global-offset,101  ,4            ,5   ,5   ,1.08186e-05,0.0011092
global-offset,101  ,5            ,5   ,5   ,8.3182e-06 ,0.00144262
global-offset,101  ,6            ,5   ,5   ,1.01202e-05,0.00118575
global-offset,101  ,7            ,5   ,5   ,8.458e-06  ,0.00141878
global-offset,101  ,8            ,5   ,5   ,1.12307e-05,0.0010685
global-offset,101  ,9            ,5   ,5   ,8.856e-06  ,0.00135501
global-offset,101  ,10           ,5   ,5   ,1.03437e-05,0.00116013
global-offset,201  ,2            ,10  ,5   ,6.5303e-06 ,0.00382831
global-offset,201  ,3            ,10  ,5   ,1.11538e-05,0.00224139
global-offset,201  ,4            ,10  ,5   ,1.47926e-05,0.00169003
global-offset,201  ,5            ,10  ,5   ,6.5722e-06 ,0.0038039
global-offset,201  ,6            ,10  ,5   ,1.15729e-05,0.00216022
global-offset,201  ,7            ,10  ,5   ,1.05113e-05,0.00237839
global-offset,201  ,8            ,10  ,5   ,9.2611e-06 ,0.00269946
global-offset,201  ,9            ,10  ,5   ,1.0644e-05 ,0.00234874
global-offset,201  ,10           ,10  ,5   ,1.12097e-05,0.00223021
global-offset,401  ,2            ,20  ,5   ,1.12097e-05,0.00446042
global-offset,401  ,3            ,20  ,5   ,1.12726e-05,0.00443553
global-offset,401  ,4            ,20  ,5   ,1.09722e-05,0.00455697
global-offset,401  ,5            ,20  ,5   ,1.0672e-05 ,0.00468516
global-offset,401  ,6            ,20  ,5   ,7.8573e-06 ,0.00636351
global-offset,401  ,7            ,20  ,5   ,1.17196e-05,0.00426636
global-offset,401  ,8            ,20  ,5   ,1.13424e-05,0.00440824
global-offset,401  ,9            ,20  ,5   ,1.14542e-05,0.00436521
global-offset,401  ,10           ,20  ,5   ,7.6547e-06 ,0.00653193
global-offset,641  ,2            ,32  ,5   ,1.0183e-05 ,0.00785623
global-offset,641  ,3            ,32  ,5   ,1.08535e-05,0.00737089
global-offset,641  ,4            ,32  ,5   ,1.1077e-05 ,0.00722217
global-offset,641  ,5            ,32  ,5   ,1.5512e-05 ,0.0051573
global-offset,641  ,6            ,32  ,5   ,1.21246e-05,0.00659816
global-offset,641  ,7            ,32  ,5   ,1.12796e-05,0.00709245
global-offset,641  ,8            ,32  ,5   ,1.09862e-05,0.00728186
global-offset,641  ,9            ,32  ,5   ,1.18104e-05,0.00677369
global-offset,641  ,10           ,32  ,5   ,1.14821e-05,0.00696737
global-offset,41   ,2            ,1   ,10  ,1.13564e-05,0.00044028
global-offset,41   ,3            ,1   ,10  ,1.07557e-05,0.00046487
global-offset,41   ,4            ,1   ,10  ,1.16567e-05,0.000428938
global-offset,41   ,5            ,1   ,10  ,1.13844e-05,0.000439197
global-offset,41   ,6            ,1   ,10  ,1.12027e-05,0.000446321
global-offset,41   ,7            ,1   ,10  ,8.6605e-06 ,0.000577334
global-offset,41   ,8            ,1   ,10  ,1.19919e-05,0.000416948
global-offset,41   ,9            ,1   ,10  ,1.17964e-05,0.000423858
global-offset,41   ,10           ,1   ,10  ,1.13005e-05,0.000442458
global-offset,81   ,2            ,2   ,10  ,1.18033e-05,0.000847221
global-offset,81   ,3            ,2   ,10  ,1.27183e-05,0.000786269
global-offset,81   ,4            ,2   ,10  ,1.16987e-05,0.000854796
global-offset,81   ,5            ,2   ,10  ,1.12097e-05,0.000892085
global-offset,81   ,6            ,2   ,10  ,1.19011e-05,0.000840258
global-offset,81   ,7            ,2   ,10  ,9.9037e-06 ,0.00100972
global-offset,81   ,8            ,2   ,10  ,8.6535e-06 ,0.0011556
global-offset,81   ,9            ,2   ,10  ,1.13564e-05,0.000880561
global-offset,81   ,10           ,2   ,10  ,1.23901e-05,0.000807096
global-offset,121  ,2            ,3   ,10  ,1.12097e-05,0.00133813
global-offset,121  ,3            ,3   ,10  ,1.12167e-05,0.00133729
global-offset,121  ,4            ,3   ,10  ,1.16078e-05,0.00129223
global-offset,121  ,5            ,3   ,10  ,6.677e-06  ,0.00224652
global-offset,121  ,6            ,3   ,10  ,6.5932e-06 ,0.00227507
global-offset,121  ,7            ,3   ,10  ,1.107e-05  ,0.00135501
global-offset,121  ,8            ,3   ,10  ,1.10281e-05,0.00136016
global-offset,121  ,9            ,3   ,10  ,1.26833e-05,0.00118266
global-offset,121  ,10           ,3   ,10  ,1.17824e-05,0.00127309
global-offset,161  ,2            ,4   ,10  ,1.30675e-05,0.00153051
global-offset,161  ,3            ,4   ,10  ,1.06789e-05,0.00187285
global-offset,161  ,4            ,4   ,10  ,1.13354e-05,0.00176438
global-offset,161  ,5            ,4   ,10  ,1.15031e-05,0.00173866
global-offset,161  ,6            ,4   ,10  ,1.25297e-05,0.00159621
global-offset,161  ,7            ,4   ,10  ,1.28091e-05,0.00156139
global-offset,161  ,8            ,4   ,10  ,1.1063e-05 ,0.00180783
global-offset,161  ,9            ,4   ,10  ,1.12516e-05,0.00177752
global-offset,161  ,10           ,4   ,10  ,7.9131e-06 ,0.00252745
global-offset,201  ,2            ,5   ,10  ,1.11189e-05,0.00224842
global-offset,201  ,3            ,5   ,10  ,8.3322e-06 ,0.00300041
global-offset,201  ,4            ,5   ,10  ,9.8478e-06 ,0.00253864
global-offset,201  ,5            ,5   ,10  ,1.14821e-05,0.0021773
global-offset,201  ,6            ,5   ,10  ,1.14681e-05,0.00217996
global-offset,201  ,7            ,5   ,10  ,1.13634e-05,0.00220005
global-offset,201  ,8            ,5   ,10  ,1.12167e-05,0.00222882
global-offset,201  ,9            ,5   ,10  ,1.14751e-05,0.00217863
global-offset,201  ,10           ,5   ,10  ,1.01341e-05,0.00246692
global-offset,401  ,2            ,10  ,10  ,1.1112e-05 ,0.00449964
global-offset,401  ,3            ,10  ,10  ,1.18313e-05,0.00422608
global-offset,401  ,4            ,10  ,10  ,1.09862e-05,0.00455116
global-offset,401  ,5            ,10  ,10  ,1.10491e-05,0.00452526
global-offset,401  ,6            ,10  ,10  ,1.45551e-05,0.00343522
global-offset,401  ,7            ,10  ,10  ,1.13703e-05,0.00439742
global-offset,401  ,8            ,10  ,10  ,9.3659e-06 ,0.00533852
global-offset,401  ,9            ,10  ,10  ,1.12306e-05,0.00445212
global-offset,401  ,10           ,10  ,10  ,1.31933e-05,0.0037898
global-offset,801  ,2            ,20  ,10  ,1.12935e-05,0.00885465
global-offset,801  ,3            ,20  ,10  ,1.51768e-05,0.006589
global-offset,801  ,4            ,20  ,10  ,1.14681e-05,0.00871984
global-offset,801  ,5            ,20  ,10  ,1.53304e-05,0.00652299
global-offset,801  ,6            ,20  ,10  ,7.4871e-06 ,0.0133563
global-offset,801  ,7            ,20  ,10  ,1.15031e-05,0.00869331
global-offset,801  ,8            ,20  ,10  ,1.12446e-05,0.00889316
global-offset,801  ,9            ,20  ,10  ,1.12236e-05,0.0089098
global-offset,801  ,10           ,20  ,10  ,1.2446e-05 ,0.00803471
global-offset,1281 ,2            ,32  ,10  ,9.9735e-06 ,0.0160425
global-offset,1281 ,3            ,32  ,10  ,8.8421e-06 ,0.0180952
global-offset,1281 ,4            ,32  ,10  ,1.11189e-05,0.0143899
global-offset,1281 ,5            ,32  ,10  ,1.47927e-05,0.0108161
global-offset,1281 ,6            ,32  ,10  ,1.07348e-05,0.0149048
global-offset,1281 ,7            ,32  ,10  ,1.31374e-05,0.012179
global-offset,1281 ,8            ,32  ,10  ,1.11958e-05,0.0142911
global-offset,1281 ,9            ,32  ,10  ,1.10281e-05,0.0145084
global-offset,1281 ,10           ,32  ,10  ,1.14402e-05,0.0139858
global-offset,81   ,2            ,1   ,20  ,1.52257e-05,0.000656784
global-offset,81   ,3            ,1   ,20  ,1.10351e-05,0.000906199
global-offset,81   ,4            ,1   ,20  ,1.15659e-05,0.000864611
global-offset,81   ,5            ,1   ,20  ,7.529e-06  ,0.0013282
global-offset,81   ,6            ,1   ,20  ,1.14402e-05,0.000874111
global-offset,81   ,7            ,1   ,20  ,9.5125e-06 ,0.00105125
global-offset,81   ,8            ,1   ,20  ,1.31583e-05,0.000759977
global-offset,81   ,9            ,1   ,20  ,1.23831e-05,0.000807552
global-offset,81   ,10           ,1   ,20  ,1.09582e-05,0.000912559
global-offset,161  ,2            ,2   ,20  ,1.13354e-05,0.00176438
global-offset,161  ,3            ,2   ,20  ,1.11468e-05,0.00179424
global-offset,161  ,4            ,2   ,20  ,1.16288e-05,0.00171987
global-offset,161  ,5            ,2   ,20  ,1.29907e-05,0.00153956
global-offset,161  ,6            ,2   ,20  ,1.13424e-05,0.0017633
global-offset,161  ,7            ,2   ,20  ,1.01062e-05,0.00197898
global-offset,161  ,8            ,2   ,20  ,1.13494e-05,0.00176221
