# iters, size, time(ns)
1, 802, 376472703
1, 803, 378548997
1, 804, 377858379
1, 805, 380821071
1, 806, 382133177
1, 807, 383411311
1, 808, 383218629
1, 809, 386795886
1, 810, 387541678
1, 811, 389315574
1, 812, 390014979
1, 813, 392208674
1, 814, 392390585
1, 815, 395181294
1, 816, 395058853
1, 817, 398627294
1, 818, 398541032
1, 819, 399753461
1, 820, 401336478
1, 821, 403224489
1, 822, 404324717
1, 823, 406990811
1, 824, 407220643
1, 825, 410164188
1, 826, 411160290
1, 827, 412944927
1, 828, 412118583
1, 829, 414011352
1, 830, 415775950
1, 831, 418531953
1, 832, 420714598
1, 833, 422272407
1, 834, 423042925
1, 835, 425321250
1, 836, 425631062
1, 837, 428944012
1, 838, 428306222
1, 839, 431593564
1, 840, 432042709
1, 841, 433981986
1, 842, 435200627
1, 843, 438022663
1, 844, 439084120
1, 845, 451319658
1, 846, 442926926
1, 847, 446355484
1, 848, 444370100
1, 849, 447221291
1, 850, 449323334
1, 851, 450956725
1, 852, 451530996
1, 853, 455109213
1, 854, 455114394
1, 855, 460605279
1, 856, 458172544
1, 857, 459871719
1, 858, 461720085
1, 859, 463103276
1, 860, 462827007
1, 861, 466781133
1, 862, 467423520
1, 863, 471359652
1, 864, 469131932
1, 865, 472936196
1, 866, 475125854
1, 867, 477579508
1, 868, 477647695
1, 869, 479625295
1, 870, 482501954
1, 871, 483280468
1, 872, 483484641
1, 873, 486446641
1, 874, 486896627
1, 875, 489272094
1, 876, 489927967
1, 877, 492773950
1, 878, 493901751
1, 879, 496478015
1, 880, 498355545
1, 881, 504631437
1, 882, 502279835
1, 883, 503712278
1, 884, 503377368
1, 885, 506944766
1, 886, 510518918
1, 887, 510019729
1, 888, 509684829
1, 889, 513102897
1, 890, 514757227
1, 891, 516668311
1, 892, 517299388
1, 893, 520537176
1, 894, 521107799
1, 895, 523931309
1, 896, 789617334
1, 897, 528604246
1, 898, 530183696
1, 899, 532533094
1, 900, 532273926
1, 901, 536568843
1, 902, 536201382
1, 903, 538810559
1, 904, 538380940
1, 905, 542077481
1, 906, 542385651
1, 907, 544947579
1, 908, 546252542
1, 909, 547437991
1, 910, 549736694
1, 911, 554203744
1, 912, 552004388
1, 913, 557601623
1, 914, 557176553
1, 915, 561558083
1, 916, 560036702
1, 917, 563609571
1, 918, 565280202
1, 919, 567512880
1, 920, 567270865
1, 921, 570984840
1, 922, 571428654
1, 923, 574887478
1, 924, 575390803
1, 925, 579352314
1, 926, 580053673
1, 927, 582319804
1, 928, 581957552
1, 929, 586173089
1, 930, 586817410
1, 931, 589635831
1, 932, 590127525
1, 933, 593827302
1, 934, 594231994
1, 935, 595654308
1, 936, 597947480
1, 937, 601429098
1, 938, 602954405
1, 939, 606601804
1, 940, 606662889
1, 941, 609997960
1, 942, 609963275
1, 943, 612682548
1, 944, 612316530
1, 945, 616077363
1, 946, 619164306
1, 947, 620938113
1, 948, 621387908
1, 949, 625505231
1, 950, 625818741
1, 951, 628544636
1, 952, 628380207
1, 953, 633714247
1, 954, 633995275
1, 955, 635995587
1, 956, 637121694
1, 957, 641372999
1, 958, 642321633
1, 959, 645313229
1, 960, 650202101
1, 961, 647788883
1, 962, 649571284
1, 963, 652942263
1, 964, 653805978
1, 965, 657861654
1, 966, 659617436
1, 967, 667359123
1, 968, 666709662
1, 969, 666504527
1, 970, 667176310
1, 971, 671707791
1, 972, 670103394
1, 973, 673905243
1, 974, 676654773
1, 975, 678351635
1, 976, 699521383
1, 977, 703449840
1, 978, 696376548
1, 979, 698128905
1, 980, 687473536
1, 981, 693496683
1, 982, 696269968
1, 983, 698028775
1, 984, 695626589
1, 985, 701594991
1, 986, 700355029
1, 987, 703241608
1, 988, 705572851
1, 989, 709374490
1, 990, 708772027
1, 991, 712077052
1, 992, 715344035
1, 993, 719140454
1, 994, 715796156
1, 995, 721807729
1, 996, 720722809
1, 997, 723257856
1, 998, 725848508
1, 999, 728999133
1, 1000, 729335886
1, 1010, 752510153
1, 1020, 774222031
1, 1030, 798910215
1, 1040, 819329522
1, 1050, 847652953
1, 1060, 869536464
1, 1070, 899705193
1, 1080, 925036136
1, 1090, 950431691
1, 1100, 978900614
1, 1110, 1007171696
1, 1120, 1035627235
1, 1023, 1273585684
1, 1024, 6123969070
1, 1025, 1275888683
1, 1130, 1061178813
1, 1140, 1110680758
1, 1150, 1153977274
1, 1160, 1187442402
1, 1170, 1208312738
1, 1180, 1235089570
1, 1190, 1294888437
1, 1200, 1340326009
1, 1210, 1330689017
1, 1220, 1375164009
1, 1230, 1418279615
1, 1240, 1441432271
1, 1250, 1475259893
1, 1260, 1478561019
1, 1270, 1513038061
1, 1280, 2366780233
1, 1290, 1585927654
1, 1300, 1630886226
1, 1310, 1672973828
1, 1320, 1720747153
1, 1330, 1763383557
1, 1340, 1791185447
1, 1350, 1871478081
1, 1360, 1964047451
1, 1370, 1978734118
1, 1380, 2020854342
1, 1390, 2069365784
1, 1400, 2125142879
1, 1410, 2172053261
1, 1420, 2234191967
1, 1430, 2297956151
1, 1440, 2301071268
1, 1450, 2299335043
1, 1460, 2341653751
1, 1470, 2398485659
1, 1480, 2484667887
1, 1490, 2579506725
1, 1500, 2615484147
1, 1510, 2707364852
1, 1520, 2839015591
1, 1530, 2958936934
1, 1540, 3429398552
1, 1550, 3123058802
1, 1560, 3991708193
1, 1570, 3216371699
1, 1580, 3479821466
1, 1590, 3630280894
1, 1600, 3594573328
1, 1610, 4059483917
1, 1620, 4502958557
1, 1630, 4802182786
1, 1640, 4697892455
1, 1650, 4805606412
1, 1660, 5025670815
1, 1670, 4832195829
1, 1680, 6527147515
1, 1690, 5312215297
1, 1700, 5920489829
1, 1710, 5632619539
1, 1720, 5744612603
1, 1730, 5861227416
1, 1740, 6328617095
1, 1750, 7140598041
1, 1760, 5521786620
1, 1770, 7734636701
1, 1780, 7260551189
1, 1790, 7392565238
1, 1800, 8163851259
1, 1810, 7666175958
1, 1820, 11520471722
1, 1830, 8829715396
1, 1840, 7413114289
1, 1850, 9038961441
1, 1860, 8424702265
1, 1870, 9541507543
1, 1880, 8060967015
1, 2000, 8579743125
1, 2001, 12654386870
1, 2048, 45433838120
1, 2049, 17121709035
