#N_elem,N_iter,N_block,dtype,method,t_tot,t_copy,t_exec,t_backcopy
16384,2000,64,float,cuda_shared,20481621,110281,20350248,17740
16384,2000,64,double,cuda_naive,26194008,119500,26051530,19696
16384,2000,64,double,cuda_shared,20436224,119430,20295981,17460
16384,2000,128,uint16_t,cuda_naive,29082609,106439,28954519,18228
16384,2000,128,uint16_t,cuda_shared,23507252,106021,23379999,17880
16384,2000,128,uint32_t,cuda_naive,29187302,110560,29055160,18159
16384,2000,128,uint32_t,cuda_shared,23712169,110141,23581075,17530
16384,2000,128,float,cuda_naive,29003407,110630,28870778,18648
16384,2000,128,float,cuda_shared,23666003,110211,23534769,17601
16384,2000,128,double,cuda_naive,29156502,119011,29014303,19765
16384,2000,128,double,cuda_shared,23276354,119430,23135901,17670
16384,2000,256,uint16_t,cuda_naive,31957520,106369,31829499,18299
16384,2000,256,uint16_t,cuda_shared,25669633,105950,25542731,17600
16384,2000,256,uint32_t,cuda_naive,31992999,117475,31854014,18089
16384,2000,256,uint32_t,cuda_shared,24999498,109862,24868405,17810
16384,2000,256,float,cuda_naive,31990834,109792,31859671,18019
16384,2000,256,float,cuda_shared,24683044,110002,24546153,23537
16384,2000,256,double,cuda_naive,34831034,118592,34690582,18438
16384,2000,256,double,cuda_shared,26239196,119221,26099023,17600
16384,2000,512,uint16_t,cuda_naive,40533225,107557,40403947,18368
16384,2000,512,uint16_t,cuda_shared,28994887,106579,28867145,17810
16384,2000,512,uint32_t,cuda_naive,40703220,110350,40571079,18369
16384,2000,512,uint32_t,cuda_shared,29267271,110001,29136178,17670
16384,2000,512,float,cuda_naive,40615498,110280,40482100,19766
16384,2000,512,float,cuda_shared,29064310,110071,28933147,17740
16384,2000,512,double,cuda_naive,40650140,119360,40509059,18299
16384,2000,512,double,cuda_shared,31339208,119360,31198057,18368
16384,2000,1024,uint16_t,cuda_naive,55033148,107417,54902473,19905
16384,2000,1024,uint16_t,cuda_shared,37784518,107138,37656078,17880
16384,2000,1024,uint32_t,cuda_naive,54981992,110351,54849989,18229
16384,2000,1024,uint32_t,cuda_shared,38004838,111119,37872557,17810
16384,2000,1024,float,cuda_naive,54991926,110281,54858387,19905
16384,2000,1024,float,cuda_shared,37750961,111049,37611697,18019
16384,2000,1024,double,cuda_naive,54993672,125995,54846095,18229
16384,2000,1024,double,cuda_shared,40416279,119150,40275688,18089
16384,2000,1,float,thrust,680891,189971,486591,1606
16384,2000,1,float,std::accumulate,3325326,189971,486591,1606
16384,2000,1,float,cpu,36874652,189971,486591,1606
16384,2000,1,float,cpu_seq,3324559,189971,486591,1606
32768,2000,32,uint16_t,cuda_naive,26308646,117335,26169590,18019
32768,2000,32,uint16_t,cuda_shared,23586336,111329,23453636,17950
32768,2000,32,uint32_t,cuda_naive,29004694,119779,28863892,17670
32768,2000,32,uint32_t,cuda_shared,23628241,119221,23487929,17670
32768,2000,32,float,cuda_naive,28965442,120129,28824361,17531
