#method, iters, size, time(ns)
#Threads for eigen: 12
eigen, 1, 823, 28711670
eigen, 1, 824, 29608647
eigen, 1, 825, 28824143
eigen, 1, 826, 28980916
eigen, 1, 827, 26611613
eigen, 1, 828, 28512055
eigen, 1, 829, 31007748
eigen, 1, 830, 36370940
eigen, 1, 831, 25695169
eigen, 1, 832, 25785038
eigen, 1, 833, 27919400
eigen, 1, 834, 27871170
eigen, 1, 835, 29471629
eigen, 1, 836, 33306260
eigen, 1, 837, 32683729
eigen, 1, 838, 32087388
eigen, 1, 839, 29047712
eigen, 1, 840, 28703044
eigen, 1, 841, 32286592
eigen, 1, 842, 29330424
eigen, 1, 843, 29228442
eigen, 1, 844, 30984304
eigen, 1, 845, 35635328
eigen, 1, 846, 32554124
eigen, 1, 847, 34177887
eigen, 1, 848, 33160955
eigen, 1, 849, 33118356
eigen, 1, 850, 38142270
eigen, 1, 851, 30580614
eigen, 1, 852, 31006525
eigen, 1, 853, 29919822
eigen, 1, 854, 31560547
eigen, 1, 855, 34286221
eigen, 1, 856, 34299046
eigen, 1, 857, 34822299
eigen, 1, 858, 35077459
eigen, 1, 859, 34982330
eigen, 1, 860, 31919192
eigen, 1, 861, 32168960
eigen, 1, 862, 32491397
eigen, 1, 863, 32510552
eigen, 1, 864, 31696713
eigen, 1, 865, 32312571
eigen, 1, 866, 30930913
eigen, 1, 867, 31056499
eigen, 1, 868, 31441032
eigen, 1, 869, 31012787
eigen, 1, 870, 31776864
eigen, 1, 871, 31838128
eigen, 1, 872, 32687516
eigen, 1, 873, 33197855
eigen, 1, 874, 33739664
eigen, 1, 875, 34752648
eigen, 1, 876, 35548575
eigen, 1, 877, 32897009
eigen, 1, 878, 33471419
eigen, 1, 879, 33709136
eigen, 1, 880, 32504481
eigen, 1, 881, 33539237
eigen, 1, 882, 34551629
eigen, 1, 883, 34596445
eigen, 1, 884, 34677987
eigen, 1, 885, 34961161
eigen, 1, 886, 35423278
eigen, 1, 887, 35595833
eigen, 1, 888, 35837568
eigen, 1, 889, 35915515
eigen, 1, 890, 36183459
eigen, 1, 891, 36243681
eigen, 1, 892, 42101234
eigen, 1, 893, 34779669
eigen, 1, 894, 35113246
eigen, 1, 895, 39518288
eigen, 1, 896, 41116232
eigen, 1, 897, 38471880
eigen, 1, 898, 34924391
eigen, 1, 899, 34980466
eigen, 1, 900, 42202074
eigen, 1, 901, 41038546
eigen, 1, 902, 41507378
eigen, 1, 903, 35494843
eigen, 1, 904, 35750274
eigen, 1, 905, 35588730
eigen, 1, 906, 35976730
eigen, 1, 907, 36205870
eigen, 1, 908, 41264630
eigen, 1, 909, 41634256
eigen, 1, 910, 42075566
eigen, 1, 911, 42305999
eigen, 1, 912, 35613016
eigen, 1, 913, 35519901
eigen, 1, 914, 36200970
eigen, 1, 915, 36448707
eigen, 1, 916, 36773247
eigen, 1, 917, 36833260
eigen, 1, 918, 37154455
eigen, 1, 919, 37445541
eigen, 1, 920, 37731238
eigen, 1, 921, 37779339
eigen, 1, 922, 39171276
eigen, 1, 923, 38305888
eigen, 1, 924, 38719777
eigen, 1, 925, 38850914
eigen, 1, 926, 39241146
eigen, 1, 927, 39528437
eigen, 1, 928, 39475759
eigen, 1, 929, 38793575
eigen, 1, 930, 41483553
eigen, 1, 931, 40025091
eigen, 1, 932, 40636380
eigen, 1, 933, 40798204
eigen, 1, 934, 41077309
eigen, 1, 935, 41471490
eigen, 1, 936, 42145327
eigen, 1, 937, 37765342
